frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
226,1,3,0.734,橘貓（目標貓）,0.138,0.479,,"1011,442,1304,821"
227,0,6,0.921,黑白貓,0.813,0.423,,"1489,862,2175,1303"
227,1,3,0.761,橘貓（目標貓）,0.140,0.488,,"1010,443,1325,821"
228,0,6,0.942,黑白貓,0.774,0.397,,"1501,741,2189,1377"
229,0,6,0.914,黑白貓,0.746,0.394,,"1526,733,2202,1342"
230,0,6,0.928,黑白貓,0.806,0.355,,"1546,823,2188,1342"
230,1,3,0.800,橘貓（目標貓）,0.140,0.486,,"1007,444,1322,819"
231,0,6,0.929,黑白貓,0.855,0.375,,"1551,879,2179,1347"
231,1,3,0.548,橘貓（目標貓）,0.139,0.473,,"1007,444,1293,822"
232,0,6,0.929,黑白貓,0.865,0.363,,"1550,874,2169,1350"
232,1,3,0.570,橘貓（目標貓）,0.140,0.475,,"1007,445,1295,819"
233,0,6,0.930,黑白貓,0.832,0.345,,"1547,822,2166,1348"
234,0,6,0.901,黑白貓,0.791,0.353,,"1520,753,2209,1359"
234,1,3,0.627,橘貓（目標貓）,0.138,0.468,,"1008,442,1291,828"
235,0,6,0.802,黑白貓,0.884,0.354,,"1558,867,2181,1338"
235,1,3,0.696,橘貓（目標貓）,0.139,0.486,,"1009,444,1326,826"
236,0,6,0.773,黑白貓,0.906,0.385,,"1555,871,2150,1336"
236,1,3,0.746,橘貓（目標貓）,0.139,0.486,,"1009,444,1322,823"
237,0,6,0.723,黑白貓,0.898,0.382,,"1556,890,2145,1334"
237,1,3,0.564,橘貓（目標貓）,0.138,0.480,,"1009,443,1313,826"
238,0,6,0.855,黑白貓,0.914,0.411,,"1552,893,2132,1341"
238,1,3,0.773,橘貓（目標貓）,0.139,0.484,,"1008,444,1320,823"
239,0,6,0.869,黑白貓,0.896,0.370,,"1551,895,2115,1334"
239,1,3,0.675,橘貓（目標貓）,0.139,0.483,,"1009,443,1319,824"
240,0,3,0.857,橘貓（目標貓）,0.139,0.489,,"1009,442,1336,826"
240,1,6,0.839,黑白貓,0.899,0.442,,"1549,887,2026,1333"
241,0,3,0.872,橘貓（目標貓）,0.171,0.493,,"1010,443,1353,843"
242,0,3,0.854,橘貓（目標貓）,0.172,0.493,,"1010,444,1353,842"
243,0,3,0.865,橘貓（目標貓）,0.170,0.495,,"1010,444,1356,840"
244,0,3,0.889,橘貓（目標貓）,0.170,0.497,,"1010,444,1360,838"
